2018-01-12 at 10:18:15 CST [nioEventLoopGroup-3-1] ERROR com.lance.net.server.service.HttpRequestHandler   - ===========> validationLoginBefore(), null
2018-01-12 at 10:22:33 CST [nioEventLoopGroup-3-1] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 10:43:47 CST [nioEventLoopGroup-3-1] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 10:49:16 CST [nioEventLoopGroup-3-1] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 10:49:16 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 10:52:15 CST [nioEventLoopGroup-3-1] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 10:52:58 CST [nioEventLoopGroup-3-6] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:00:53 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:05:42 CST [nioEventLoopGroup-3-7] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:05:42 CST [nioEventLoopGroup-3-4] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:06:59 CST [nioEventLoopGroup-3-4] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:07:55 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:07:55 CST [nioEventLoopGroup-3-1] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:07:55 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:07:55 CST [nioEventLoopGroup-3-4] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:30:13 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-8] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-3] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
2018-01-12 at 11:31:35 CST [nioEventLoopGroup-3-2] ERROR com.lance.net.server.service.TextWebSocketFrameHandler   - =====> 远程主机强迫关闭了一个现有的连接。
